iso_o,iso_d,dist,cty_code_o,cty_code_d
AUS,AUS,1042.8167,36,36
AUS,BRA,13371.757,36,76
AUS,CAN,15586.658,36,124
AUS,CHE,16673.203,36,757
AUS,CHN,8956.4355,36,156
AUS,DEU,16562.725,36,276
AUS,ESP,17699.453,36,724
AUS,FRA,16975.463,36,251
AUS,GBR,17011.268,36,826
AUS,IDN,5511.9019,36,360
AUS,IND,10435.104,36,699
AUS,ITA,16333.254,36,381
AUS,JPN,7831.4463,36,392
AUS,KOR,8329.6523,36,410
AUS,MEX,12985.175,36,484
AUS,NLD,16658.111,36,528
AUS,RUS,14503.068,36,643
AUS,SAU,12782.139,36,682
AUS,TUR,14960.313,36,792
AUS,USA,16008.793,36,842
BRA,AUS,13371.757,76,36
BRA,BRA,1097.3561,76,76
BRA,CAN,8191.3525,76,124
BRA,CHE,9534.4912,76,757
BRA,CHN,17614.305,76,156
BRA,DEU,9847.6631,76,276
BRA,ESP,8389.7803,76,724
BRA,FRA,9408.4063,76,251
BRA,GBR,9501.71,76,826
BRA,IDN,15644.479,76,360
BRA,IND,14441.492,76,699
BRA,ITA,9482.5156,76,381
BRA,JPN,18549.611,76,392
BRA,KOR,18364.506,76,410
BRA,MEX,7439.6357,76,484
BRA,NLD,9810.8203,76,528
BRA,RUS,11820.151,76,643
BRA,SAU,11404.511,76,682
BRA,TUR,10590.761,76,792
BRA,USA,7694.3071,76,842
CAN,AUS,15586.658,124,36
CAN,BRA,8191.3525,124,76
CAN,CAN,1187.9962,124,124
CAN,CHE,6440.7168,124,757
CAN,CHN,10598.318,124,156
CAN,DEU,6160.5591,124,276
CAN,ESP,6040.498,124,724
CAN,FRA,6004.645,124,251
CAN,GBR,5715.7466,124,826
CAN,IDN,15815.393,124,360
CAN,IND,11643.625,124,699
CAN,ITA,7089.1978,124,381
CAN,JPN,10358.492,124,392
CAN,KOR,10617.703,124,410
CAN,MEX,3267.2898,124,484
CAN,NLD,5988.2388,124,528
CAN,RUS,7495.5205,124,643
CAN,SAU,10655.83,124,682
CAN,TUR,8197.2305,124,792
CAN,USA,548.39459,124,842
CHE,AUS,16673.203,757,36
CHE,BRA,9534.4912,757,76
CHE,CAN,6440.7168,757,124
CHE,CHE,76.426811,757,757
CHE,CHN,8084.2637,757,156
CHE,DEU,503.80072,757,276
CHE,ESP,1153.1167,757,724
CHE,FRA,436.07776,757,251
CHE,GBR,748.71173,757,826
CHE,IDN,11222.69,757,360
CHE,IND,6249.0127,757,699
CHE,ITA,692.65918,757,381
CHE,JPN,9680.5938,757,392
CHE,KOR,8878.165,757,410
CHE,MEX,9640.4648,757,484
CHE,NLD,628.02502,757,528
CHE,RUS,2296.3972,757,643
CHE,SAU,4263.9063,757,682
CHE,TUR,1837.1543,757,792
CHE,USA,6272.2852,757,842
CHN,AUS,8956.4355,156,36
CHN,BRA,17614.305,156,76
CHN,CAN,10598.318,156,124
CHN,CHE,8084.2637,156,757
CHN,CHN,1163.7072,156,156
CHN,DEU,7785.3418,156,276
CHN,ESP,9232.2988,156,724
CHN,FRA,8225.2324,156,251
CHN,GBR,8151.353,156,826
CHN,IDN,5220.8794,156,360
CHN,IND,3785.0132,156,699
CHN,ITA,8134.6948,156,381
CHN,JPN,2098.1108,156,392
CHN,KOR,955.65106,156,410
CHN,MEX,12467.167,156,484
CHN,NLD,7831.1406,156,528
CHN,RUS,5795.0449,156,643
CHN,SAU,6605.1851,156,682
CHN,TUR,7064.1968,156,792
CHN,USA,10993.685,156,842
DEU,AUS,16562.725,276,36
DEU,BRA,9847.6631,276,76
DEU,CAN,6160.5591,276,124
DEU,CHE,503.80072,276,757
DEU,CHN,7785.3418,276,156
DEU,DEU,224.83582,276,276
DEU,ESP,1479.3315,276,724
DEU,FRA,439.89844,276,251
DEU,GBR,495.36328,276,826
DEU,IDN,11227.219,276,360
DEU,IND,6229.6367,276,699
DEU,ITA,1146.0232,276,381
DEU,JPN,9298.3408,276,392
DEU,KOR,8543.7842,276,410
DEU,MEX,9399.7813,276,484
DEU,NLD,173.52386,276,528
DEU,RUS,2065.1829,276,643
DEU,SAU,4498.2573,276,682
DEU,TUR,2038.3323,276,792
DEU,USA,6035.3345,276,842
ESP,AUS,17699.453,724,36
ESP,BRA,8389.7803,724,76
ESP,CAN,6040.498,724,124
ESP,CHE,1153.1167,724,757
ESP,CHN,9232.2988,724,156
ESP,DEU,1479.3315,724,276
ESP,ESP,267.54037,724,724
ESP,FRA,1054.6564,724,251
ESP,GBR,1263.3788,724,826
ESP,IDN,12188.311,724,360
ESP,IND,7282.0464,724,699
ESP,ITA,1366.7605,724,381
ESP,JPN,10777.424,724,392
ESP,KOR,10012.642,724,410
ESP,MEX,9073.9512,724,484
ESP,NLD,1481.3658,724,528
ESP,RUS,3449.2996,724,643
ESP,SAU,4975.897,724,682
ESP,TUR,2740.0291,724,792
ESP,USA,5770.2642,724,842
FRA,AUS,16975.463,251,36
FRA,BRA,9408.4063,251,76
FRA,CAN,6004.645,251,124
FRA,CHE,436.07776,251,757
FRA,CHN,8225.2324,251,156
FRA,DEU,439.89844,251,276
FRA,ESP,1054.6564,251,724
FRA,FRA,278.18762,251,251
FRA,GBR,342.94748,251,826
FRA,IDN,11584.248,251,360
FRA,IND,6594.23,251,699
FRA,ITA,1109.901,251,381
FRA,JPN,9725.6289,251,392
FRA,KOR,8981.4668,251,410
FRA,MEX,9206.8135,251,484
FRA,NLD,427.9169,251,528
FRA,RUS,2494.3164,251,643
FRA,SAU,4694.4995,251,682
FRA,TUR,2255.8101,251,792
FRA,USA,5838.1572,251,842
GBR,AUS,17011.268,826,36
GBR,BRA,9501.71,826,76
GBR,CAN,5715.7466,826,124
GBR,CHE,748.71173,826,757
GBR,CHN,8151.353,826,156
GBR,DEU,495.36328,826,276
GBR,ESP,1263.3788,826,724
GBR,FRA,342.94748,826,251
GBR,GBR,185.83461,826,826
GBR,IDN,11718.783,826,360
GBR,IND,6720.6362,826,699
GBR,ITA,1438.4252,826,381
GBR,JPN,9574.2373,826,392
GBR,KOR,8875.3896,826,410
GBR,MEX,8938.4043,826,484
GBR,NLD,360.31503,826,528
GBR,RUS,2510.8804,826,643
GBR,SAU,4957.3452,826,682
GBR,TUR,2501.8857,826,792
GBR,USA,5570.1611,826,842
IDN,AUS,5511.9019,360,36
IDN,BRA,15644.479,360,76
IDN,CAN,15815.393,360,124
IDN,CHE,11222.69,360,757
IDN,CHN,5220.8794,360,156
IDN,DEU,11227.219,360,276
IDN,ESP,12188.311,360,724
IDN,FRA,11584.248,360,251
IDN,GBR,11718.783,360,826
IDN,IDN,523.02643,360,360
IDN,IND,4998.2285,360,699
IDN,ITA,10823.777,360,381
IDN,JPN,5791.627,360,392
IDN,KOR,5291.6836,360,410
IDN,MEX,16863.459,360,484
IDN,NLD,11361.639,360,528
IDN,RUS,9302.7061,360,643
IDN,SAU,7340.4072,360,682
IDN,TUR,9452.7607,360,792
IDN,USA,16180.323,360,842
IND,AUS,10435.104,699,36
IND,BRA,14441.492,699,76
IND,CAN,11643.625,699,124
IND,CHE,6249.0127,699,757
IND,CHN,3785.0132,699,156
IND,DEU,6229.6367,699,276
IND,ESP,7282.0464,699,724
IND,FRA,6594.23,699,251
IND,GBR,6720.6362,699,826
IND,IDN,4998.2285,699,360
IND,IND,681.98157,699,699
IND,ITA,5922.2222,699,381
IND,JPN,5847.7104,699,392
IND,KOR,4692.6719,699,410
IND,MEX,14673.655,699,484
IND,NLD,6363.4214,699,528
IND,RUS,4341.8813,699,643
IND,SAU,3053.1531,699,682
IND,TUR,4558.3135,699,792
IND,USA,11761.807,699,842
ITA,AUS,16333.254,381,36
ITA,BRA,9482.5156,381,76
ITA,CAN,7089.1978,381,124
ITA,CHE,692.65918,381,757
ITA,CHN,8134.6948,381,156
ITA,DEU,1146.0232,381,276
ITA,ESP,1366.7605,381,724
ITA,FRA,1109.901,381,251
ITA,GBR,1438.4252,381,826
ITA,IDN,10823.777,381,360
ITA,IND,5922.2222,381,699
ITA,ITA,206.46666,381,381
ITA,JPN,9869.2754,381,392
ITA,KOR,8982.6592,381,410
ITA,MEX,10254.866,381,484
ITA,NLD,1297.6946,381,528
ITA,RUS,2383.1707,381,643
ITA,SAU,3684.7419,381,682
ITA,TUR,1373.2697,381,792
ITA,USA,6895.1069,381,842
JPN,AUS,7831.4463,392,36
JPN,BRA,18549.611,392,76
JPN,CAN,10358.492,392,124
JPN,CHE,9680.5938,392,757
JPN,CHN,2098.1108,392,156
JPN,DEU,9298.3408,392,276
JPN,ESP,10777.424,392,724
JPN,FRA,9725.6289,392,251
JPN,GBR,9574.2373,392,826
JPN,IDN,5791.627,392,360
JPN,IND,5847.7104,392,699
JPN,ITA,9869.2754,392,381
JPN,JPN,231.18803,392,392
JPN,KOR,1156.6696,392,410
JPN,MEX,11312.394,392,484
JPN,NLD,9303.377,392,528
JPN,RUS,7486.3032,392,643
JPN,SAU,8701.9219,392,682
JPN,TUR,8958.8438,392,792
JPN,USA,10855.587,392,842
KOR,AUS,8329.6523,410,36
KOR,BRA,18364.506,410,76
KOR,CAN,10617.703,410,124
KOR,CHE,8878.165,410,757
KOR,CHN,955.65106,410,156
KOR,DEU,8543.7842,410,276
KOR,ESP,10012.642,410,724
KOR,FRA,8981.4668,410,251
KOR,GBR,8875.3896,410,826
KOR,IDN,5291.6836,410,360
KOR,IND,4692.6719,410,699
KOR,ITA,8982.6592,410,381
KOR,JPN,1156.6696,410,392
KOR,KOR,118.63434,410,410
KOR,MEX,12066.008,410,484
KOR,NLD,8573.1826,410,528
KOR,RUS,6614.0645,410,643
KOR,SAU,7557.272,410,682
KOR,TUR,7967.7007,410,792
KOR,USA,11065.702,410,842
MEX,AUS,12985.175,484,36
MEX,BRA,7439.6357,484,76
MEX,CAN,3267.2898,484,124
MEX,CHE,9640.4648,484,757
MEX,CHN,12467.167,484,156
MEX,DEU,9399.7813,484,276
MEX,ESP,9073.9512,484,724
MEX,FRA,9206.8135,484,251
MEX,GBR,8938.4043,484,826
MEX,IDN,16863.459,484,360
MEX,IND,14673.655,484,699
MEX,ITA,10254.866,484,381
MEX,JPN,11312.394,484,392
MEX,KOR,12066.008,484,410
MEX,MEX,527.54456,484,484
MEX,NLD,9229.3623,484,528
MEX,RUS,10736.297,484,643
MEX,SAU,13895.682,484,682
MEX,TUR,11437.283,484,792
MEX,USA,3369.0527,484,842
NLD,AUS,16658.111,528,36
NLD,BRA,9810.8203,528,76
NLD,CAN,5988.2388,528,124
NLD,CHE,628.02502,528,757
NLD,CHN,7831.1406,528,156
NLD,DEU,173.52386,528,276
NLD,ESP,1481.3658,528,724
NLD,FRA,427.9169,528,251
